Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
02-01-2020,09:00,02-01-2020,,,iDEAL Deposit,,EUR,"7500,00",EUR,"7500,00",
02-01-2020,09:01,02-01-2020,,,Reservation iDEAL,,EUR,"-2500,00",EUR,"5000,00",
03-01-2020,10:00,03-01-2020,,,iDEAL storting,,EUR,"5000,00",EUR,"10000,00",
04-01-2020,11:00,04-01-2020,,,Processed Flatex Withdrawal,,EUR,"-300,00",EUR,"9700,00",
05-01-2020,12:00,05-01-2020,,,Verrekening Welkomstactie,,EUR,"25,00",EUR,"9725,00",
06-01-2020,15:30,06-01-2020,APPLE INC,US0378331005,Valuta Creditering,"1,08",USD,"1800,00",USD,"1800,00",00000000-0000-4000-8000-000000000001
06-01-2020,15:30,06-01-2020,APPLE INC,US0378331005,Valuta Debitering,,EUR,"-1666,67",EUR,"8058,33",00000000-0000-4000-8000-000000000001
06-01-2020,15:30,06-01-2020,APPLE INC,US0378331005,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"8056,33",00000000-0000-4000-8000-000000000001
06-01-2020,15:30,06-01-2020,APPLE INC,US0378331005,Koop 10 @ 180 USD,"1,08",USD,"-1800,00",USD,"0,00",00000000-0000-4000-8000-000000000001
10-01-2020,16:00,10-01-2020,MICROSOFT CORP,US5949181045,Valuta Creditering,"1,09",USD,"1500,00",USD,"1500,00",00000000-0000-4000-8000-000000000002
10-01-2020,16:00,10-01-2020,MICROSOFT CORP,US5949181045,Valuta Debitering,,EUR,"-1376,15",EUR,"6680,18",00000000-0000-4000-8000-000000000002
10-01-2020,16:00,10-01-2020,MICROSOFT CORP,US5949181045,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"6678,18",00000000-0000-4000-8000-000000000002
10-01-2020,16:00,10-01-2020,MICROSOFT CORP,US5949181045,Koop 5 @ 300 USD,"1,09",USD,"-1500,00",USD,"0,00",00000000-0000-4000-8000-000000000002
15-01-2020,09:30,15-01-2020,VANGUARD S&P 500 UCITS ETF USD DIS (VUSA),IE00B3XXRP09,Koop 8 @ 85 EUR,,EUR,"-680,00",EUR,"5998,18",00000000-0000-4000-8000-000000000003
15-01-2020,09:30,15-01-2020,VANGUARD S&P 500 UCITS ETF USD DIS (VUSA),IE00B3XXRP09,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"5996,18",00000000-0000-4000-8000-000000000003
01-02-2020,10:00,01-02-2020,SAP SE (SAP),DE0007164600,Koop 5 @ 100 EUR,,EUR,"-500,00",EUR,"5496,18",00000000-0000-4000-8000-000000000011
01-02-2020,10:00,01-02-2020,SAP SE (SAP),DE0007164600,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"5494,18",00000000-0000-4000-8000-000000000011
31-08-2020,09:00,31-08-2020,APPLE INC,US0378331005,STOCK SPLIT: Verkoop 10 @ 125 USD,"1,08",USD,"1800,00",USD,"1800,00",00000000-0000-4000-8000-000000000009
31-08-2020,09:00,31-08-2020,APPLE INC,US0378331005,"STOCK SPLIT: Koop 40 @ 31,25 USD","1,08",USD,"-1800,00",USD,"0,00",00000000-0000-4000-8000-000000000009
20-01-2021,15:45,20-01-2021,ALPHABET INC CLASS A,US02079K3059,Valuta Creditering,"1,10",USD,"1800,00",USD,"1800,00",00000000-0000-4000-8000-000000000004
20-01-2021,15:45,20-01-2021,ALPHABET INC CLASS A,US02079K3059,Valuta Debitering,,EUR,"-1636,36",EUR,"3857,82",00000000-0000-4000-8000-000000000004
20-01-2021,15:45,20-01-2021,ALPHABET INC CLASS A,US02079K3059,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"3855,82",00000000-0000-4000-8000-000000000004
20-01-2021,15:45,20-01-2021,ALPHABET INC CLASS A,US02079K3059,Koop 1 @ 1800 USD,"1,10",USD,"-1800,00",USD,"0,00",00000000-0000-4000-8000-000000000004
25-01-2021,10:00,25-01-2021,ASML HOLDING NV,NL0010273215,Koop 2 @ 650 EUR,,EUR,"-1300,00",EUR,"2555,82",00000000-0000-4000-8000-000000000005
25-01-2021,10:00,25-01-2021,ASML HOLDING NV,NL0010273215,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"2553,82",00000000-0000-4000-8000-000000000005
30-01-2021,16:20,30-01-2021,REALTY INCOME CORP (O),US7561091049,Valuta Creditering,"1,09",USD,"1200,00",USD,"1200,00",00000000-0000-4000-8000-000000000006
30-01-2021,16:20,30-01-2021,REALTY INCOME CORP (O),US7561091049,Valuta Debitering,,EUR,"-1100,92",EUR,"1452,90",00000000-0000-4000-8000-000000000006
30-01-2021,16:20,30-01-2021,REALTY INCOME CORP (O),US7561091049,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"1450,90",00000000-0000-4000-8000-000000000006
30-01-2021,16:20,30-01-2021,REALTY INCOME CORP (O),US7561091049,Koop 20 @ 60 USD,"1,09",USD,"-1200,00",USD,"0,00",00000000-0000-4000-8000-000000000006
01-02-2021,10:00,01-02-2021,SAP SE (SAP),DE0007164600,Verkoop 5 @ 120 EUR,,EUR,"600,00",EUR,"2050,90",00000000-0000-4000-8000-000000000012
01-02-2021,10:00,01-02-2021,SAP SE (SAP),DE0007164600,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"2048,90",00000000-0000-4000-8000-000000000012
05-02-2022,14:10,05-02-2022,APPLE INC,US0378331005,Valuta Creditering,"1,07",USD,"-540,00",USD,"-540,00",00000000-0000-4000-8000-000000000007
05-02-2022,14:10,05-02-2022,APPLE INC,US0378331005,Valuta Debitering,,EUR,"504,67",EUR,"2553,57",00000000-0000-4000-8000-000000000007
